"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"3809","Cortes",3,1,1,2,89,NA,1,0,NA,40.4120902549225,-3.69588423776062
"3810","Cortes",4,1,1,2,136,NA,1,0,100,40.4146130216516,-3.69892591533928
"3811","Cortes",2,1,0,1,90,NA,1,0,NA,40.4138188848842,-3.70077134450358
"3812","Cortes",2,1,1,2,60,NA,3,10,94,40.413130227243,-3.69787076331115
"3813","Cortes",8,2.5,2,2,195,NA,4,35,95,40.4146644460567,-3.70161793790685
"3814","Cortes",4,1,1,2,50,NA,2,10,93,40.4123278843815,-3.69856696336384
"3815","Cortes",3,1,0,2,50,NA,1,0,100,40.4122269842477,-3.69567896445675
"3816","Cortes",4,1,1,3,69,NA,2,10,80,40.4149324801174,-3.70104727496215
"3817","Cortes",2,1,1,2,120,NA,1,0,NA,40.4143305670173,-3.70245484278319
"3818","Sol",4,1,1,2,108,538,2,15,95,40.4159531747359,-3.70280775568966
"3819","Cortes",16,3,7,16,550,NA,1,0,82,40.4163076400238,-3.70080261342928
"3820","Sol",6,1.5,2,3,125,NA,2,20,NA,40.4184355193113,-3.70029010187024
"3821","Sol",3,1,1,2,55,NA,3,10,93,40.4148154829355,-3.70764572939033
"3822","Sol",10,2,2,6,98,1453,1,24,94,40.4150366351328,-3.70761817230768
"3823","Sol",5,1,2,3,95,NA,3,20,89,40.4156444121059,-3.70430344769939
"3824","Sol",4,1,1,2,89,NA,2,20,92,40.4164822663066,-3.70817900805114
"3825","Sol",6,1,2,4,80,NA,2,10,92,40.4164099119294,-3.70362248706724
"3826","Sol",4,1,1,2,99,NA,4,0,91,40.4142750839706,-3.70453615857635
"3827","Sol",2,1,1,1,99,NA,1,0,97,40.4150251551767,-3.70658669152136
"3828","Sol",4,1,0,2,69,NA,2,10,92,40.415444852525,-3.70498909508976
"3829","Sol",2,1,1,1,49,NA,1,0,94,40.4169557792962,-3.70504738698624
